#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-38C0CE71DCC7EEA3-36894F96905DCF6A
#datatype	hits Concise data(Superfamily only)
#status	0
#Start time	2012-05-24T16:59:24	Run time	0:12:57:43
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#115 - >WHL22.316234.0	superfamily	205643	25	49	0.000673009	35.4451	cl16282	zf-H2C2_2 superfamily	 - 	 - 
Q#118 - >WHL22.574866.2	superfamily	212176	248	321	2.73849e-18	80.6731	cl00155	UBQ superfamily	 - 	 - 
Q#118 - >WHL22.574866.2	superfamily	210079	522	566	2.91262e-05	42.3762	cl15348	RING superfamily	 - 	 - 
Q#118 - >WHL22.574866.2	superfamily	201821	593	653	0.0001518	40.6571	cl15976	IBR superfamily	 - 	 - 
Q#119 - >WHL22.114200.2	superfamily	206959	3	330	2.07841e-114	374.601	cl00286	Motor_domain superfamily	N	 - 
Q#119 - >WHL22.114200.2	superfamily	206947	643	734	2.10049e-10	59.1946	cl00273	PH-like superfamily	 - 	 - 
Q#119 - >WHL22.114200.2	superfamily	207608	1034	1192	3.45121e-35	132.872	cl02480	MyTH4 superfamily	 - 	 - 
Q#119 - >WHL22.114200.2	superfamily	206947	612	644	1.80884e-05	44.4105	cl00273	PH-like superfamily	C	 - 
Q#120 - >WHL22.742069.0	superfamily	109407	97	176	1.44421e-12	59.9077	cl08261	Ribosomal_L6 superfamily	 - 	 - 
Q#120 - >WHL22.742069.0	superfamily	109407	12	85	1.53386e-11	56.8261	cl08261	Ribosomal_L6 superfamily	 - 	 - 
Q#122 - >WHL22.335618.0	superfamily	207648	49	385	2.45323e-29	115.092	cl02567	WD40 superfamily	 - 	 - 
Q#123 - >WHL22.430686.0	superfamily	212301	490	792	0	660.701	cl09925	PKc_like superfamily	 - 	 - 
Q#124 - >WHL22.559873.0	superfamily	128934	69	132	1.29654e-07	47.1453	cl02740	DysFN superfamily	 - 	 - 
Q#125 - >WHL22.228739.0	superfamily	198480	35	138	2.17351e-11	60.8466	cl00049	CUB superfamily	 - 	 - 
Q#125 - >WHL22.228739.0	superfamily	206798	339	397	1.57933e-06	45.5316	cl00043	CCP superfamily	 - 	 - 
Q#125 - >WHL22.228739.0	superfamily	207619	148	244	3.71347e-23	93.6926	cl02509	SRCR superfamily	 - 	 - 
Q#125 - >WHL22.228739.0	superfamily	207649	249	321	2.26746e-10	57.1544	cl02568	WSC superfamily	 - 	 - 
Q#126 - >WHL22.769600.2	superfamily	201396	282	463	2.9296e-45	158.556	cl02929	Cation_ATPase_C superfamily	 - 	 - 
Q#126 - >WHL22.769600.2	superfamily	152858	502	565	1.64022e-20	86.354	cl13811	ATP_Ca_trans_C superfamily	 - 	 - 
Q#126 - >WHL22.769600.2	superfamily	212310	84	208	6.28121e-05	42.289	cl11391	HAD_like superfamily	N	 - 
Q#127 - >WHL22.656530.1	superfamily	207624	63	166	2.43288e-26	100.009	cl02518	BTB superfamily	 - 	 - 
Q#127 - >WHL22.656530.1	superfamily	198867	174	261	5.37295e-26	99.1551	cl06652	BACK superfamily	 - 	 - 
Q#128 - >WHL22.579074.0	superfamily	150874	3	516	1.39234e-165	481.156	cl10950	Tmemb_161AB superfamily	 - 	 - 
Q#129 - >WHL22.277870.1	superfamily	208095	86	152	9.52816e-20	79.9451	cl04084	dDENN superfamily	 - 	 - 
Q#130 - >WHL22.498934.0	superfamily	211466	1	176	4.09017e-71	224.779	cl14876	Zinc_peptidase_like superfamily	N	 - 
Q#130 - >WHL22.498934.0	superfamily	202944	205	327	1.03915e-34	124.305	cl07854	TFR_dimer superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	4303	4390	9.33043e-12	64.9683	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	4170	4259	4.11745e-11	63.4227	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	2462	2539	1.34163e-09	58.8051	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	1609	1691	1.73429e-09	58.4199	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	876	962	2.12436e-09	58.0347	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	206838	1214	1364	6.36334e-09	57.7826	cl00102	LamG superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	3833	3911	3.24321e-08	54.5679	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	1979	2066	1.05687e-07	53.0223	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	151	243	1.27997e-07	53.0223	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	3938	4023	8.54746e-07	50.3307	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	760	851	1.27968e-06	49.9455	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	1854	1939	1.80507e-06	49.1703	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	2688	2787	4.33852e-06	48.0195	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	2833	2898	1.06274e-05	46.8639	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	644	732	1.56084e-05	46.4787	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	1469	1542	0.000184856	43.0119	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	31	123	0.000328244	42.2415	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	551	615	0.000398064	42.2415	cl02522	Calx-beta superfamily	N	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	2948	3029	0.0005513	41.8563	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	3736	3781	0.0011273	40.6959	cl02522	Calx-beta superfamily	N	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	2344	2404	0.00493267	38.7747	cl02522	Calx-beta superfamily	N	 - 
Q#131 - >WHL22.717968.1	superfamily	112546	3386	3430	0.00568115	38.1868	cl04240	EPTP superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	989	1081	0.0066916	38.3895	cl02522	Calx-beta superfamily	 - 	 - 
Q#131 - >WHL22.717968.1	superfamily	207627	3485	3528	0.00769203	37.9995	cl02522	Calx-beta superfamily	N	 - 
Q#133 - >WHL22.550119.0	superfamily	212302	5	254	7.80796e-62	198.224	cl09931	NADB_Rossmann superfamily	 - 	 - 
Q#134 - >WHL22.375152.1	superfamily	199422	1	287	1.7099e-102	312.248	cl09938	cond_enzymes superfamily	N	 - 
Q#134 - >WHL22.375152.1	superfamily	207346	317	421	3.32483e-20	84.961	cl01225	SCP2 superfamily	 - 	 - 
Q#135 - >WHL22.161140.1	superfamily	209346	18	167	2.53065e-40	134.939	cl11497	GatB_Yqey superfamily	 - 	 - 
Q#136 - >WHL22.126611.1	superfamily	209142	100	217	2.06271e-05	44.4943	cl10458	7tm_4 superfamily	C	 - 
Q#137 - >WHL22.603522.5	superfamily	126391	100	218	0.00189449	39.4479	cl08267	ISOPREN_C2_like superfamily	N	 - 
Q#138 - >WHL22.428413.0	superfamily	204220	94	134	6.30738e-05	37.9797	cl09630	FERM_N superfamily	C	 - 
Q#139 - >WHL22.222445.1	superfamily	193359	158	231	1.72516e-17	74.0841	cl15144	TORC_C superfamily	 - 	 - 
Q#140 - >WHL22.728900.1	superfamily	207739	1	127	7.4804e-34	121.698	cl02806	Laminin_N superfamily	N	 - 
Q#140 - >WHL22.728900.1	superfamily	28937	128	176	1.52842e-05	40.3281	cl11390	EGF_Lam superfamily	 - 	 - 
Q#141 - >WHL22.705188.0	superfamily	212291	109	143	1.45167e-08	50.147	cl09099	P-loop_NTPase superfamily	C	 - 
Q#142 - >WHL22.555297.1	superfamily	212291	194	333	2.62258e-18	82.4417	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#142 - >WHL22.555297.1	superfamily	153663	23	82	4.52964e-14	67.7235	cl00297	R3H superfamily	 - 	 - 
Q#142 - >WHL22.555297.1	superfamily	207631	474	559	6.92808e-08	51.2359	cl02529	ANK superfamily	 - 	 - 
Q#145 - >WHL22.490240.0	superfamily	206808	1805	1982	1.33973e-37	141.853	cl00057	vWFA superfamily	 - 	 - 
Q#145 - >WHL22.490240.0	superfamily	206808	1180	1362	5.86564e-37	139.927	cl00057	vWFA superfamily	 - 	 - 
Q#145 - >WHL22.490240.0	superfamily	206808	366	547	1.7939e-36	138.772	cl00057	vWFA superfamily	 - 	 - 
Q#145 - >WHL22.490240.0	superfamily	207701	1564	1681	3.02554e-11	63.4674	cl02699	VIT superfamily	 - 	 - 
Q#145 - >WHL22.490240.0	superfamily	207701	62	127	1.36032e-09	58.4598	cl02699	VIT superfamily	C	 - 
Q#145 - >WHL22.490240.0	superfamily	207701	936	1055	7.06115e-09	56.1486	cl02699	VIT superfamily	 - 	 - 
Q#146 - >WHL22.4013.0	superfamily	208857	85	147	1.85018e-17	72.1221	cl08302	EFh superfamily	 - 	 - 
Q#146 - >WHL22.4013.0	superfamily	208857	12	74	2.0437e-16	69.4257	cl08302	EFh superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	340	440	3.54853e-12	65.4869	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	260	370	1.31346e-08	55.0865	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	662	773	1.34078e-08	55.0865	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	539	648	5.60888e-08	53.1605	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	742	850	1.98868e-07	51.6197	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	60	169	1.27229e-06	48.9233	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	460	566	1.54314e-06	48.5381	cl02429	TPR superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	205066	1155	1486	1.94657e-49	179.823	cl16021	CHAT superfamily	 - 	 - 
Q#147 - >WHL22.313522.0	superfamily	207591	180	290	0.000111286	42.7601	cl02429	TPR superfamily	 - 	 - 
Q#149 - >WHL22.374326.0	superfamily	207692	41	162	6.83863e-28	105.419	cl02663	Fasciclin superfamily	 - 	 - 
Q#149 - >WHL22.374326.0	superfamily	207692	176	300	8.25042e-28	105.034	cl02663	Fasciclin superfamily	 - 	 - 
Q#150 - >WHL22.417168.0	superfamily	207066	129	268	8.16446e-45	152.284	cl00474	PAP2_like superfamily	 - 	 - 
Q#151 - >WHL22.46137.0	superfamily	110204	457	653	1.17035e-80	256.362	cl03127	Lysyl_oxidase superfamily	 - 	 - 
Q#151 - >WHL22.46137.0	superfamily	207619	240	341	4.30213e-32	120.14	cl02509	SRCR superfamily	 - 	 - 
Q#151 - >WHL22.46137.0	superfamily	207619	1	96	1.76446e-31	118.345	cl02509	SRCR superfamily	 - 	 - 
Q#151 - >WHL22.46137.0	superfamily	207619	351	452	1.8895e-25	101.651	cl02509	SRCR superfamily	 - 	 - 
Q#151 - >WHL22.46137.0	superfamily	207619	116	220	6.48355e-18	80.0795	cl02509	SRCR superfamily	 - 	 - 
Q#152 - >WHL22.53056.0	superfamily	198896	1334	1363	1.97447e-13	67.6062	cl07394	Ca_chan_IQ superfamily	 - 	 - 
Q#152 - >WHL22.53056.0	superfamily	203839	979	1202	1.45223e-09	61.2055	cl10691	PKD_channel superfamily	N	 - 
Q#153 - >WHL22.8014.0	superfamily	207631	10	155	4.56447e-06	46.2283	cl02529	ANK superfamily	 - 	 - 
Q#153 - >WHL22.8014.0	superfamily	149414	154	205	1.04882e-07	50.3478	cl07091	TRP_2 superfamily	N	 - 
Q#153 - >WHL22.8014.0	superfamily	212220	298	437	0.0025378	40.0658	cl00456	SLC5-6-like_sbd superfamily	N	 - 
Q#154 - >WHL22.615217.1	superfamily	207651	453	646	1.58449e-63	214.688	cl02570	RhoGAP superfamily	 - 	 - 
Q#154 - >WHL22.615217.1	superfamily	206947	178	273	6.87021e-05	42.4855	cl00273	PH-like superfamily	 - 	 - 
Q#157 - >WHL22.224649.1	superfamily	207076	25	274	2.5677e-130	372.727	cl00490	EEP superfamily	 - 	 - 
Q#158 - >WHL22.720584.1	superfamily	207652	253	439	1.72545e-25	105.387	cl02571	RhoGEF superfamily	 - 	 - 
Q#159 - >WHL22.596447.0	superfamily	201018	229	451	1.64246e-32	127.297	cl02811	E1-E2_ATPase superfamily	 - 	 - 
Q#159 - >WHL22.596447.0	superfamily	204908	16	95	9.85658e-18	81.1051	cl13797	P5-ATPase superfamily	C	 - 
Q#159 - >WHL22.596447.0	superfamily	205426	585	625	4.63299e-08	52.2359	cl16182	Hydrolase_like2 superfamily	N	 - 
Q#159 - >WHL22.596447.0	superfamily	207790	143	204	0.000796403	39.0558	cl02930	Cation_ATPase_N superfamily	 - 	 - 
Q#160 - >WHL22.9606.1	superfamily	207631	54	180	1.64912e-29	113.253	cl02529	ANK superfamily	 - 	 - 
Q#160 - >WHL22.9606.1	superfamily	201843	374	534	1.44647e-31	120.271	cl15977	zf-DHHC superfamily	 - 	 - 
Q#161 - >WHL22.316073.0	superfamily	206810	19	118	2.03235e-15	70.8596	cl00062	FHA superfamily	 - 	 - 
Q#163 - >WHL22.325393.0	superfamily	206884	82	184	1.36094e-19	82.7365	cl00184	CAS_like superfamily	C	 - 
Q#164 - >WHL22.616099.0	superfamily	194354	45	496	0	599.935	cl02553	Peptidase_C19 superfamily	 - 	 - 
Q#166 - >WHL22.634113.0	superfamily	209104	85	115	0.000578175	34.5315	cl09941	EGF_CA superfamily	C	 - 
Q#167 - >WHL22.104285.0	superfamily	212301	150	430	2.15967e-69	230.646	cl09925	PKc_like superfamily	C	 - 
Q#169 - >WHL22.21036.0	superfamily	209301	195	390	4.01904e-103	305.857	cl11397	NR_LBD superfamily	 - 	 - 
Q#169 - >WHL22.21036.0	superfamily	207662	17	89	1.25042e-36	128.834	cl02596	NR_DBD_like superfamily	 - 	 - 
Q#170 - >WHL22.44353.0	superfamily	199386	247	292	2.04313e-08	51.0595	cl02573	TUDOR superfamily	 - 	 - 
Q#170 - >WHL22.44353.0	superfamily	207670	365	409	2.27787e-11	59.481	cl02611	G-patch superfamily	 - 	 - 
Q#170 - >WHL22.44353.0	superfamily	199045	197	224	0.000757229	37.6117	cl11592	zf-CCCH superfamily	 - 	 - 
Q#173 - >WHL22.550319.1	superfamily	206798	126	172	0.00299465	35.2488	cl00043	CCP superfamily	 - 	 - 
Q#174 - >WHL22.399623.0	superfamily	199167	58	227	1.19294e-06	49.5092	cl15309	LRR_RI superfamily	N	 - 
Q#174 - >WHL22.399623.0	superfamily	207589	36	68	0.00305213	36.1416	cl02423	LRRNT superfamily	 - 	 - 
Q#174 - >WHL22.399623.0	superfamily	199168	318	339	0.00325324	36.1756	cl15310	LRR_TYP superfamily	 - 	 - 
Q#175 - >WHL22.38931.0	superfamily	201040	22	89	5.22898e-06	40.6994	cl02813	Mito_carr superfamily	N	 - 
Q#176 - >WHL22.554291.2	superfamily	208977	14	142	3.90222e-25	94.5386	cl09111	Prefoldin superfamily	 - 	 - 
Q#177 - >WHL22.136737.1	superfamily	199384	95	152	2.48126e-06	42.791	cl02515	VWC superfamily	 - 	 - 
Q#177 - >WHL22.136737.1	superfamily	199384	29	88	7.18919e-05	38.5538	cl02515	VWC superfamily	 - 	 - 
Q#177 - >WHL22.136737.1	superfamily	199384	159	207	0.00196791	34.7018	cl02515	VWC superfamily	 - 	 - 
Q#178 - >WHL22.710483.0	superfamily	206947	423	532	1.8317e-44	155.238	cl00273	PH-like superfamily	 - 	 - 
Q#178 - >WHL22.710483.0	superfamily	207652	234	406	7.83482e-37	136.589	cl02571	RhoGEF superfamily	 - 	 - 
Q#178 - >WHL22.710483.0	superfamily	207612	38	188	1.03224e-06	48.9657	cl02488	SPEC superfamily	N	 - 
Q#178 - >WHL22.710483.0	superfamily	210081	619	677	0.000838592	37.905	cl15350	SH3 superfamily	 - 	 - 
Q#180 - >WHL22.516885.0	superfamily	212314	26	182	1.15803e-07	52.3161	cl11420	MFS superfamily	C	 - 
Q#180 - >WHL22.516885.0	superfamily	212314	335	514	0.000225905	42.3009	cl11420	MFS superfamily	N	 - 
Q#182 - >WHL22.421694.0	superfamily	212314	312	489	3.07169e-08	54.2421	cl11420	MFS superfamily	C	 - 
Q#182 - >WHL22.421694.0	superfamily	212314	27	204	5.37481e-07	50.3901	cl11420	MFS superfamily	C	 - 
Q#183 - >WHL22.511351.0	superfamily	198868	129	203	9.04124e-19	77.594	cl06734	PYNP_C superfamily	 - 	 - 
Q#185 - >WHL22.250196.0	superfamily	143751	439	518	2.30124e-42	150.662	cl11968	harmonin_N_like superfamily	 - 	 - 
Q#185 - >WHL22.250196.0	superfamily	143751	210	289	4.51299e-36	132.826	cl11968	harmonin_N_like superfamily	 - 	 - 
Q#185 - >WHL22.250196.0	superfamily	206846	297	372	1.99259e-17	79.5114	cl00117	PDZ superfamily	 - 	 - 
Q#185 - >WHL22.250196.0	superfamily	206846	114	188	1.01663e-11	62.9478	cl00117	PDZ superfamily	 - 	 - 
Q#185 - >WHL22.250196.0	superfamily	206846	44	111	3.19822e-09	55.2441	cl00117	PDZ superfamily	 - 	 - 
Q#185 - >WHL22.250196.0	superfamily	197762	1017	1151	1.91177e-16	82.0424	cl10552	FH2 superfamily	C	 - 
Q#187 - >WHL22.58803.0	superfamily	198867	132	232	1.86298e-33	123.037	cl06652	BACK superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207624	20	124	1.41545e-31	118.114	cl02518	BTB superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207702	473	518	3.31828e-11	59.2122	cl02701	Kelch_3 superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207702	521	572	3.61027e-10	56.1306	cl02701	Kelch_3 superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207702	344	389	3.28456e-09	53.3311	cl02701	Kelch_3 superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207702	378	426	5.13057e-09	53.049	cl02701	Kelch_3 superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207702	302	342	6.66508e-09	52.5607	cl02701	Kelch_3 superfamily	 - 	 - 
Q#187 - >WHL22.58803.0	superfamily	207702	437	484	2.00229e-08	51.0199	cl02701	Kelch_3 superfamily	 - 	 - 
Q#188 - >WHL22.475336.0	superfamily	208873	2	236	8.94456e-73	232.479	cl08327	Glyco_hydro_47 superfamily	N	 - 
Q#190 - >WHL22.89422.0	superfamily	203431	78	256	1.3219e-40	143.604	cl05720	Drf_GBD superfamily	 - 	 - 
Q#190 - >WHL22.89422.0	superfamily	203430	260	403	2.65864e-34	126.608	cl05717	Drf_FH3 superfamily	C	 - 
Q#191 - >WHL22.685484.0	superfamily	194749	2	189	1.29437e-34	128.548	cl04006	GH3 superfamily	N	 - 
Q#192 - >WHL22.132359.2	superfamily	198480	31	139	5.45798e-18	75.8694	cl00049	CUB superfamily	 - 	 - 
Q#192 - >WHL22.132359.2	superfamily	206840	145	179	2.08065e-12	58.2996	cl00104	LDLa superfamily	 - 	 - 
Q#193 - >WHL22.539012.2	superfamily	189857	53	191	4.12709e-36	125.055	cl07832	Caveolin superfamily	 - 	 - 
Q#194 - >WHL22.134200.2	superfamily	207322	36	133	6.21588e-12	58.6736	cl01132	FA_hydroxylase superfamily	 - 	 - 
Q#197 - >WHL22.264658.1	superfamily	212291	124	285	2.9965e-14	69.4823	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#198 - >WHL22.698854.1	superfamily	212291	130	186	7.7682e-12	59.0819	cl09099	P-loop_NTPase superfamily	C	 - 
Q#199 - >WHL22.623961.1	superfamily	207660	348	414	5.53023e-17	76.4788	cl02586	RRM superfamily	 - 	 - 
Q#199 - >WHL22.623961.1	superfamily	207660	173	240	2.20202e-14	69.1601	cl02586	RRM superfamily	 - 	 - 
Q#199 - >WHL22.623961.1	superfamily	207660	253	302	9.85851e-07	46.817	cl02586	RRM superfamily	C	 - 
Q#200 - >WHL22.328256.0	superfamily	212291	127	220	0.00387321	36.7092	cl09099	P-loop_NTPase superfamily	NC	 - 
Q#201 - >WHL22.728211.0	superfamily	207615	140	249	1.35296e-11	61.221	cl02495	RabGAP-TBC superfamily	N	 - 
Q#202 - >WHL22.402200.1	superfamily	212302	1	221	3.81889e-129	370.327	cl09931	NADB_Rossmann superfamily	N	 - 
Q#203 - >WHL22.542626.0	superfamily	148541	118	243	4.20561e-33	118.691	cl06160	DUF1301 superfamily	 - 	 - 
Q#204 - >WHL22.604736.1	superfamily	212291	287	477	1.5036e-94	298.149	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#204 - >WHL22.604736.1	superfamily	207103	601	828	1.17351e-16	80.415	cl00549	ABC_membrane superfamily	 - 	 - 
Q#206 - >WHL22.398372.0	superfamily	209451	20	84	2.24338e-07	44.2053	cl12115	HTH_Tnp_Tc5 superfamily	 - 	 - 
Q#207 - >WHL22.383522.3	superfamily	209463	201	441	2.72913e-25	104.615	cl12142	7tm_2 superfamily	 - 	 - 
Q#207 - >WHL22.383522.3	superfamily	207643	139	186	2.65875e-14	68.1793	cl02559	GPS superfamily	 - 	 - 
Q#209 - >WHL22.139437.0	superfamily	209398	92	168	2.40676e-06	44.0306	cl11960	Ig superfamily	 - 	 - 
Q#210 - >WHL22.84419.0	superfamily	192729	13	65	2.87682e-32	119.464	cl14978	IRF-2BP1_2 superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	222	258	6.11789e-06	43.7211	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	298	334	6.62234e-06	43.7211	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	201760	453	567	4.49371e-46	158.732	cl03190	Avidin superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	70	106	9.81653e-06	43.3911	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	336	372	1.21845e-05	43.0059	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	184	220	1.75516e-05	42.6207	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	412	448	2.69388e-05	41.8503	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	32	68	4.15783e-05	41.4651	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	146	182	0.000164842	39.5391	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	260	296	0.000253648	39.0987	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	108	144	0.0002678	39.0987	cl09941	EGF_CA superfamily	 - 	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	2	30	0.00230837	36.4023	cl09941	EGF_CA superfamily	N	 - 
Q#211 - >WHL22.771108.2	superfamily	209104	376	410	0.0042081	35.6319	cl09941	EGF_CA superfamily	 - 	 - 
Q#212 - >WHL22.132423.8	superfamily	206798	347	392	4.1056e-06	43.9908	cl00043	CCP superfamily	 - 	 - 
Q#212 - >WHL22.132423.8	superfamily	206798	278	337	8.85228e-05	39.8165	cl00043	CCP superfamily	 - 	 - 
Q#212 - >WHL22.132423.8	superfamily	207623	115	176	0.000295086	39.7368	cl02516	VWD superfamily	N	 - 
Q#213 - >WHL22.366040.0	superfamily	212314	58	438	1.42619e-08	55.0125	cl11420	MFS superfamily	 - 	 - 
Q#216 - >WHL22.52150.1	superfamily	199167	82	346	2.93824e-29	115.763	cl15309	LRR_RI superfamily	 - 	 - 
Q#217 - >WHL22.242011.0	superfamily	210054	86	166	4.18482e-08	50.4983	cl15255	SH2 superfamily	 - 	 - 
Q#218 - >WHL22.621768.0	superfamily	212293	154	305	8.90659e-25	100.437	cl09117	Mem_trans superfamily	 - 	 - 
Q#220 - >WHL22.356104.0	superfamily	207135	8	328	2.66336e-14	70.8505	cl00614	ADP_ribosyl_GH superfamily	 - 	 - 
Q#221 - >WHL22.66511.0	superfamily	194749	63	497	1.15451e-86	278.391	cl04006	GH3 superfamily	 - 	 - 
Q#223 - >WHL22.622578.0	superfamily	207843	1	181	1.10296e-74	225.521	cl03114	RNase_PH superfamily	 - 	 - 
Q#225 - >WHL22.207524.0	superfamily	212343	3	120	9.40411e-23	91.6973	cl12078	CypX superfamily	N	 - 
Q#226 - >WHL22.52137.0	superfamily	212291	1626	1712	0.00213074	39.4367	cl09099	P-loop_NTPase superfamily	C	 - 
Q#227 - >WHL22.336695.4	superfamily	211462	18	272	2.39885e-108	329.355	cl12031	Esterase_lipase superfamily	C	 - 
Q#227 - >WHL22.336695.4	superfamily	211462	473	529	8.03561e-14	71.2715	cl12031	Esterase_lipase superfamily	N	 - 
Q#228 - >WHL22.297652.0	superfamily	201438	122	316	1.07061e-12	66.1472	cl02965	Glyco_transf_29 superfamily	N	 - 
Q#229 - >WHL22.28348.2	superfamily	206846	1062	1146	3.19527e-21	91.0674	cl00117	PDZ superfamily	 - 	 - 
Q#229 - >WHL22.28348.2	superfamily	206947	695	790	6.03376e-20	87.6726	cl00273	PH-like superfamily	 - 	 - 
Q#229 - >WHL22.28348.2	superfamily	206846	1431	1514	5.43927e-16	76.0446	cl00117	PDZ superfamily	 - 	 - 
Q#229 - >WHL22.28348.2	superfamily	201187	590	700	2.39647e-21	92.3497	cl09511	FERM_M superfamily	 - 	 - 
Q#229 - >WHL22.28348.2	superfamily	204220	494	584	3.20188e-17	79.5812	cl09630	FERM_N superfamily	 - 	 - 
Q#230 - >WHL22.391869.1	superfamily	206846	209	274	1.9096e-05	43.9078	cl00117	PDZ superfamily	N	 - 
Q#232 - >WHL22.597749.1	superfamily	206862	535	771	9.29924e-67	222.505	cl00149	Tryp_SPc superfamily	 - 	 - 
Q#232 - >WHL22.597749.1	superfamily	206813	316	417	4.38092e-09	54.562	cl00065	FN3 superfamily	 - 	 - 
Q#232 - >WHL22.597749.1	superfamily	207619	61	163	9.34529e-20	85.8575	cl02509	SRCR superfamily	 - 	 - 
Q#232 - >WHL22.597749.1	superfamily	206813	429	508	1.84913e-05	43.7555	cl00065	FN3 superfamily	 - 	 - 
Q#234 - >WHL22.215428.2	superfamily	209851	4	243	1.37018e-146	413.282	cl13996	MPN superfamily	 - 	 - 
Q#235 - >WHL22.501618.0	superfamily	212314	104	289	2.52919e-14	71.5761	cl11420	MFS superfamily	C	 - 
Q#236 - >WHL22.387632.0	superfamily	212190	6	359	0	582.331	cl00321	AAT_I superfamily	 - 	 - 
Q#237 - >WHL22.542485.3	superfamily	212291	26	179	4.6788e-09	53.6891	cl09099	P-loop_NTPase superfamily	 - 	 - 
Q#237 - >WHL22.542485.3	superfamily	203973	250	339	7.43611e-21	85.2508	cl16006	Rep_fac_C superfamily	 - 	 - 
